best_action	value	value_quantile
LEFT	-0.9875957369804382	2
SHOOT	4.808195114135742	3
LEFT	-20.995189666748047	0
LEFT	-11.907230377197266	0
RIGHT	-20.35981559753418	0
SHOOT	1.9836848974227905	3
RIGHT	-0.35712930560112	2
SHOOT	1.9836848974227905	3
RIGHT	-18.673091888427734	0
SHOOT	6.6092376708984375	3
SHOOT	6.6092376708984375	3
RIGHT	-5.894826412200928	1
LEFT	-5.057485103607178	1
LEFT	-2.671673059463501	2
RIGHT	-5.894826412200928	1
SHOOT	3.4647727012634277	3
RIGHT	-0.7448766827583313	2
RIGHT	-13.610102653503418	0
LEFT	-3.634528636932373	1
SHOOT	1.9836848974227905	3
LEFT	-4.681832313537598	1
LEFT	-24.123517990112305	0
LEFT	-2.671673059463501	2
LEFT	-13.336848258972168	0
LEFT	-0.9875957369804382	2
LEFT	-10.52117919921875	0
SHOOT	6.427516937255859	3
SHOOT	6.427516937255859	3
SHOOT	3.4647727012634277	3
SHOOT	4.808195114135742	3
SHOOT	1.9836848974227905	3
RIGHT	-12.919583320617676	0
SHOOT	4.814824104309082	3
SHOOT	6.427516937255859	3
SHOOT	4.814824104309082	3
SHOOT	4.814824104309082	3
SHOOT	3.270261287689209	3
SHOOT	6.6092376708984375	3
LEFT	-2.4518330097198486	2
SHOOT	3.270261287689209	3
LEFT	-16.8145809173584	0
LEFT	-20.995189666748047	0
RIGHT	-0.35712930560112	2
LEFT	-2.0693469047546387	2
LEFT	-8.371048927307129	1
SHOOT	4.814824104309082	3
LEFT	-24.123517990112305	0
SHOOT	1.9836848974227905	3
RIGHT	-8.803949356079102	1
LEFT	-0.9207122325897217	2
RIGHT	-0.7448766827583313	2
LEFT	-3.3016772270202637	2
SHOOT	6.427516937255859	3
RIGHT	-8.968295097351074	1
LEFT	-8.371048927307129	1
LEFT	-6.620070934295654	1
LEFT	-13.141899108886719	0
SHOOT	4.808195114135742	3
LEFT	-5.057485103607178	1
SHOOT	1.6601529121398926	2
